"source","target","context","developer_comments"
"987840791000119102","","987840791000119102",""
"914650261000119108","","914650261000119108",""
"966011731000119103","","966011731000119103",""
"950410381000119107","","950410381000119107",""
"952177351000119104","","952177351000119104",""
"938000861000119106","","938000861000119106",""
"956321981000119108","","956321981000119108",""
"971918681000119107","","971918681000119107",""
"939595491000119108","","939595491000119108",""
"991898981000119108","","991898981000119108",""
"923166471000119109","","923166471000119109",""
"971608291000119105","","971608291000119105",""
"955314361000119105","","955314361000119105",""
"972604701000119104","","972604701000119104",""
"977021461000119108","","977021461000119108",""
"968361541000119107","","968361541000119107",""
"910018951000119100","","910018951000119100",""
"964827051000119104","","964827051000119104",""
"985355341000119101","","985355341000119101",""
"961792901000119102","","961792901000119102",""
"978253001000132109","","978253001000132109",""
"952768041000119104","","952768041000119104",""
"959201281000119107","","959201281000119107",""
"914587451000119107","","914587451000119107",""
"936472381000119102","","936472381000119102",""
"972900701000119109","","972900701000119109",""
"947256671000119109","","947256671000119109",""
"969688801000119108","","969688801000119108",""
"939885431000119109","","939885431000119109",""
"943590191000119108","","943590191000119108",""
"915141931000119109","","915141931000119109",""
"932947661000119102","","932947661000119102",""
"957319791000119104","","957319791000119104",""
"964190521000119101","","964190521000119101",""
"909802691000119102","","909802691000119102",""
"906902831000119100","","906902831000119100",""
"903952141000132105","","903952141000132105",""
"903729901000119103","","903729901000119103",""
"898941951000119108","","898941951000119108",""
"898816651000119105","","898816651000119105",""
"895205251000119104","","895205251000119104",""
"894991851000119108","","894991851000119108",""
"894362851000119109","","894362851000119109",""
"894171571000119107","","894171571000119107",""
"892417201000119109","","892417201000119109",""
"889967811000119101","","889967811000119101",""
"888996361000119108","","888996361000119108",""
"887190541000119108","","887190541000119108",""
"882784691000119100","","882784691000119100",""
"881694631000119107","","881694631000119107",""
"881637171000119102","","881637171000119102",""
"880529761000119102","","880529761000119102",""
"877927231000119106","","877927231000119106",""
"877043181000119101","","877043181000119101",""
"873135461000119101","","873135461000119101",""
"872012781000119103","","872012781000119103",""
"868431021000119100","","868431021000119100",""
"864990181000119100","","864990181000119100",""
"859422751000119101","","859422751000119101",""
"856856651000119109","","856856651000119109",""
"855760291000119105","","855760291000119105",""
"852981511000119103","","852981511000119103",""
"851365731000119106","","851365731000119106",""
"850950361000119102","","850950361000119102",""
"850531481000119100","","850531481000119100",""
"849827001000119100","","849827001000119100",""
"849579281000119106","","849579281000119106",""
"849488701000119104","","849488701000119104",""
"846429301000119107","","846429301000119107",""
"843433951000119102","","843433951000119102",""
"843331731000119104","","843331731000119104",""
"842944581000119108","","842944581000119108",""
"842853311000132105","","842853311000132105",""
"834298541000119106","","834298541000119106",""
"834127761000119108","","834127761000119108",""
"828066161000119106","","828066161000119106",""
"827644581000119108","","827644581000119108",""
"820063141000119101","","820063141000119101",""
"820048411000119105","","820048411000119105",""
"817968741000119105","","817968741000119105",""
"817685381000119106","","817685381000119106",""
"815121161000119105","","815121161000119105",""
"813925041000119103","","813925041000119103",""
"812500731000119109","","812500731000119109",""
"812493641000119108","","812493641000119108",""
"809087311000119106","","809087311000119106",""
"808558991000119105","","808558991000119105",""
"806161651000119106","","806161651000119106",""
"805616441000119104","","805616441000119104",""
"800703961000119100","","800703961000119100",""
"796936501000119105","","796936501000119105",""
"796522451000119103","","796522451000119103",""
"793197981000119106","","793197981000119106",""
"792255781000119102","","792255781000119102",""
"792210311000119105","","792210311000119105",""
"790731321000119100","","790731321000119100",""
"788986271000119103","","788986271000119103",""
"788062371000119104","","788062371000119104",""
"785716931000119106","","785716931000119106",""
"782036441000119100","","782036441000119100",""
"779100741000119102","","779100741000119102",""
"776005371000119104","","776005371000119104",""
"772948901000119104","","772948901000119104",""
"769023031000119104","","769023031000119104",""
"767289441000119108","","767289441000119108",""
"765070521000119105","","765070521000119105",""
"763101411000119100","","763101411000119100",""
"760838291000119102","","760838291000119102",""
"759950981000119101","","759950981000119101",""
"759869601000119107","","759869601000119107",""
"759556531000119104","","759556531000119104",""
"759291281000119108","","759291281000119108",""
"754555501000119102","","754555501000119102",""
"754097021000119101","","754097021000119101",""
"754012901000119107","","754012901000119107",""
"753248161000119109","","753248161000119109",""
"751960361000119108","","751960361000119108",""
"746913791000119104","","746913791000119104",""
"745761781000119105","","745761781000119105",""
"740215071000132100","","740215071000132100",""
"736959331000119108","","736959331000119108",""
"732330391000119107","","732330391000119107",""
"728667671000119108","","728667671000119108",""
"726499301000119105","","726499301000119105",""
"724003651000119103","","724003651000119103",""
"722119031000119100","","722119031000119100",""
"721711931000119105","","721711931000119105",""
"720261501000119107","","720261501000119107",""
"720138451000119108","","720138451000119108",""
"714023571000119102","","714023571000119102",""
"712365461000119105","","712365461000119105",""
"712072191000119105","","712072191000119105",""
"705220971000119104","","705220971000119104",""
"703340121000119102","","703340121000119102",""
"703100191000119101","","703100191000119101",""
"697788021000119105","","697788021000119105",""
"695751021000132104","","695751021000132104",""
"695449561000119100","","695449561000119100",""
"689727121000119109","","689727121000119109",""
"686117221000119105","","686117221000119105",""
"684633371000119107","","684633371000119107",""
"684579951000119109","","684579951000119109",""
"683509791000119109","","683509791000119109",""
"680035451000119103","","680035451000119103",""
"679690691000119102","","679690691000119102",""
"678509831000119103","","678509831000119103",""
"674814021000119106","","674814021000119106",""
"669274571000119102","","669274571000119102",""
"655081461000119101","","655081461000119101",""
"653850281000119101","","653850281000119101",""
"652287331000119104","","652287331000119104",""
"650284171000119103","","650284171000119103",""
"646218511000119105","","646218511000119105",""
"643996241000119101","","643996241000119101",""
"640080131000119107","","640080131000119107",""
"639766991000119109","","639766991000119109",""
"638862541000119108","","638862541000119108",""
"636201361000119105","","636201361000119105",""
"635116041000119100","","635116041000119100",""
"632240011000119105","","632240011000119105",""
"630352961000119108","","630352961000119108",""
"629149351000119106","","629149351000119106",""
"626416581000119101","","626416581000119101",""
"625544171000132109","","625544171000132109",""
"619779711000119104","","619779711000119104",""
"616839841000119101","","616839841000119101",""
"613093311000119107","","613093311000119107",""
"610412651000119100","","610412651000119100",""
"609590581000119102","","609590581000119102",""
"602893011000119101","","602893011000119101",""
"602822751000119104","","602822751000119104",""
"600455841000119103","","600455841000119103",""
"600224751000119105","","600224751000119105",""
"598377701000119108","","598377701000119108",""
"595899961000119100","","595899961000119100",""
"593005441000119104","","593005441000119104",""
"592513751000119104","","592513751000119104",""
"590365011000119106","","590365011000119106",""
"589157321000132102","","589157321000132102",""
"587751151000119107","","587751151000119107",""
"586464951000119108","","586464951000119108",""
"586065651000119108","","586065651000119108",""
"585603201000119101","","585603201000119101",""
"584836011000119107","","584836011000119107",""
"578968971000119100","","578968971000119100",""
"575462741000119102","","575462741000119102",""
"565951401000119107","","565951401000119107",""
"564989741000119102","","564989741000119102",""
"563789641000119101","","563789641000119101",""
"561885931000119106","","561885931000119106",""
"561258721000119104","","561258721000119104",""
"559151051000119108","","559151051000119108",""
"557571231000119105","","557571231000119105",""
"557174041000119102","","557174041000119102",""
"556301811000119107","","556301811000119107",""
"556179491000119104","","556179491000119104",""
"551906581000119101","","551906581000119101",""
"550376571000132101","","550376571000132101",""
"547853841000119107","","547853841000119107",""
"547665171000119105","","547665171000119105",""
"544102301000119103","","544102301000119103",""
"543826841000119109","","543826841000119109",""
"543303731000119106","","543303731000119106",""
"542440891000119103","","542440891000119103",""
"539503321000119109","","539503321000119109",""
"535696741000119105","","535696741000119105",""
"532502421000119102","","532502421000119102",""
"530558861000132104","","530558861000132104",""
"527788091000119106","","527788091000119106",""
"527072941000119107","","527072941000119107",""
"517253051000119105","","517253051000119105",""
"515623061000119105","","515623061000119105",""
