"source","target","context","developer_comments"
"987840791000119102","Adenosine deaminase 2 deficiency","987840791000119102",""
"914650261000119108","Ruptured aneurysm of infrarenal abdominal aorta","914650261000119108",""
"966011731000119103","Acute ulcerative pancolitis","966011731000119103",""
"950410381000119107","Immunodeficiency caused by long term therapeutic use of immunosuppressant","950410381000119107",""
"952177351000119104","Carrier of carbapenem sensitive Enterobacteriaceae","952177351000119104",""
"938000861000119106","Non-radiographic axial spondyloarthritis of lumbar region","938000861000119106",""
"956321981000119108","Chronic gastric erosion","956321981000119108",""
"971918681000119107","Chronic respiratory failure due to obstructive sleep apnea","971918681000119107",""
"939595491000119108","Malignant melanoma of skin of right forearm","939595491000119108",""
"991898981000119108","Chronic nontraumatic intracranial subdural hematoma","991898981000119108",""
"923166471000119109","Malignant melanoma of skin of right elbow","923166471000119109",""
"971608291000119105","Venous ulcer of left ankle","971608291000119105",""
"955314361000119105","Laceration of intrinsic muscle of index finger","955314361000119105",""
"972604701000119104","Acquired arteriovenous malformation of vascular structure of gastrointestinal tract","972604701000119104",""
"977021461000119108","Renal scarring due to vesicoureteral reflux","977021461000119108",""
"968361541000119107","Hot flash caused by aromatase inhibitor","968361541000119107",""
"910018951000119100","Right thigh adductor muscle strain","910018951000119100",""
"964827051000119104","Segmental pigmentation disorder","964827051000119104",""
"985355341000119101","Malignant melanoma of skin of left wrist","985355341000119101",""
"961792901000119102","Left peroneal vein thrombophlebitis","961792901000119102",""
"978253001000132109","Small bowel enteroscopy normal","978253001000132109",""
"952768041000119104","Bilateral pseudocyst of ears","952768041000119104",""
"959201281000119107","Pressure injury of deep tissue of left buttock","959201281000119107",""
"914587451000119107","Anaphylaxis caused by component of vaccine product against severe acute respiratory syndrome coronavirus 2","914587451000119107",""
"936472381000119102","Well-differentiated neuroendocrine tumor grade 1 of left lung","936472381000119102",""
"972900701000119109","Venous ulcer of toe of left foot","972900701000119109",""
"947256671000119109","Endometriosis of inguinal canal","947256671000119109",""
"969688801000119108","Acute left-sided ulcerative colitis","969688801000119108",""
"939885431000119109","Cerebrovascular accident due to embolism of bilateral middle cerebral arteries","939885431000119109",""
"943590191000119108","Laceration of femoral vein","943590191000119108",""
"915141931000119109","Cerebrovascular accident due to embolism of basilar artery","915141931000119109",""
"932947661000119102","Metastatic nuclear protein in testis associated carcinoma to bone","932947661000119102",""
"957319791000119104","Cerebrovascular accident due to thrombosis of left cerebellar artery","957319791000119104",""
"964190521000119101","Carrier of Niemann-Pick disease type A","964190521000119101",""
"909802691000119102","Bilateral retinopathy caused by pentosan polysulfate","909802691000119102",""
"906902831000119100","Carrier of Usher syndrome type 3","906902831000119100",""
"903952141000132105","Stenosis of jejunum","903952141000132105",""
"903729901000119103","Acute upper respiratory infection caused by respiratory syncytial virus","903729901000119103",""
"898941951000119108","Cerebrovascular accident due to occlusion of bilateral vertebral arteries","898941951000119108",""
"898816651000119105","Terminal ileitis in remission","898816651000119105",""
"895205251000119104","Ruptured aneurysm of aortic arch","895205251000119104",""
"894991851000119108","Laceration of subclavian artery","894991851000119108",""
"894362851000119109","Disease caused by severe acute respiratory syndrome coronavirus 2 during pregnancy","894362851000119109",""
"894171571000119107","Primary renal cell carcinoma of right kidney","894171571000119107",""
"892417201000119109","Mass of right axillary region","892417201000119109",""
"889967811000119101","Right limbal stem cell deficiency","889967811000119101",""
"888996361000119108","Contact dermatitis caused by medication","888996361000119108",""
"887190541000119108","Difficulty understanding medication instruction","887190541000119108",""
"882784691000119100","Pneumonia caused by SARS-CoV-2","882784691000119100",""
"881694631000119107","Cerebrovascular accident of medulla oblongata","881694631000119107",""
"881637171000119102","Bilateral granulomatous mastitis of breasts","881637171000119102",""
"880529761000119102","Infection of lower respiratory tract caused by SARS-CoV-2","880529761000119102",""
"877927231000119106","Urticaria multiforme","877927231000119106",""
"877043181000119101","Infection caused by Babesia duncani","877043181000119101",""
"873135461000119101","Endometriosis of cecum","873135461000119101",""
"872012781000119103","Squamous cell carcinoma in situ of skin of right foot","872012781000119103",""
"868431021000119100","Bilateral hereditary dystrophy of cornea of eyes","868431021000119100",""
"864990181000119100","Carrier of Usher syndrome type 2","864990181000119100",""
"859422751000119101","Cerebrovascular accident due to embolism of left carotid artery","859422751000119101",""
"856856651000119109","Left peroneal vein chronic deep venous thrombosis","856856651000119109",""
"855760291000119105","Sporadic cavernous malformation of spinal cord","855760291000119105",""
"852981511000119103","Aggressive fibromatosis of chest wall","852981511000119103",""
"851365731000119106","Cerebrovascular accident due to thrombosis of left posterior cerebral artery","851365731000119106",""
"850950361000119102","Superficial endometriosis of right ovary","850950361000119102",""
"850531481000119100","Tendinosis of right wrist","850531481000119100",""
"849827001000119100","Deep endometriosis of sigmoid colon","849827001000119100",""
"849579281000119106","Cerebrovascular accident due to occlusion of right posterior communicating artery","849579281000119106",""
"849488701000119104","Cerebrovascular accident due to embolism of right anterior cerebral artery","849488701000119104",""
"846429301000119107","Venous ulcer of left thigh","846429301000119107",""
"843433951000119102","Acute deep venous thrombosis of right peroneal vein","843433951000119102",""
"843331731000119104","Osteitis deformans of bilateral humeri","843331731000119104",""
"842944581000119108","Acquired claw toe of right foot","842944581000119108",""
"842853311000132105","Obstruction of pancreatic stent","842853311000132105",""
"834298541000119106","Laceration of blood vessel of ring finger","834298541000119106",""
"834127761000119108","Non-radiographic axial spondyloarthritis of cervical region","834127761000119108",""
"828066161000119106","Cerebrovascular accident due to thrombosis of right anterior cerebral artery","828066161000119106",""
"827644581000119108","Clear cell adenocarcinoma of Mullerian origin of renal pelvis","827644581000119108",""
"820063141000119101","Iritis of left eye due to and following surgical procedure on left eye region","820063141000119101",""
"820048411000119105","Venous ulcer of right midfoot","820048411000119105",""
"817968741000119105","Situs inversus of optic disc","817968741000119105",""
"817685381000119106","Acute pediatric feeding disorder","817685381000119106",""
"815121161000119105","Adverse reaction caused by tramadol","815121161000119105",""
"813925041000119103","Spontaneous leak of cerebrospinal fluid of spine","813925041000119103",""
"812500731000119109","Chronic candidal vulvovaginitis during pregnancy","812500731000119109",""
"812493641000119108","Right superior wall orbit closed fracture","812493641000119108",""
"809087311000119106","Carrier of Nebulin-related nemaline myopathy","809087311000119106",""
"808558991000119105","Malignant melanoma of skin of left forearm","808558991000119105",""
"806161651000119106","Cerebrovascular accident due to embolism of right vertebral artery","806161651000119106",""
"805616441000119104","Hemorrhage of ileostomy stoma","805616441000119104",""
"800703961000119100","Acquired cerebellar atrophy","800703961000119100",""
"796936501000119105","Type IIIa dissection of descending thoracic aorta","796936501000119105",""
"796522451000119103","Left limbal stem cell deficiency","796522451000119103",""
"793197981000119106","Malignant carcinoid tumor of right lung","793197981000119106",""
"792255781000119102","Aggressive fibromatosis of lower limb","792255781000119102",""
"792210311000119105","Laceration of intrinsic muscle of little finger","792210311000119105",""
"790731321000119100","Bilateral lattice dystrophy of substantia propria of cornea of eyes","790731321000119100",""
"788986271000119103","Inadequate drinking water supply","788986271000119103",""
"788062371000119104","Acute cough","788062371000119104",""
"785716931000119106","Non-radiographic axial spondyloarthritis of thoracic and lumbar regions","785716931000119106",""
"782036441000119100","Endometriosis of abdomen","782036441000119100",""
"779100741000119102","Venous ulcer of right thigh","779100741000119102",""
"776005371000119104","Primary malignant adamantinoma of long bone of left lower limb","776005371000119104",""
"772948901000119104","Bilateral tendinosis of wrists","772948901000119104",""
"769023031000119104","Cerebrovascular accident of thalamus","769023031000119104",""
"767289441000119108","Primary malignant neoplasm of sclera of right eye","767289441000119108",""
"765070521000119105","Bare metal stent in branch of left coronary artery","765070521000119105",""
"763101411000119100","Primary renal cell carcinoma of left kidney","763101411000119100",""
"760838291000119102","Disorder of tendon of bilateral lower legs","760838291000119102",""
"759950981000119101","Cerebrovascular accident due to thrombosis of left vertebral artery","759950981000119101",""
"759869601000119107","Superficial endometriosis of small intestine","759869601000119107",""
"759556531000119104","Hot flash caused by tamoxifen","759556531000119104",""
"759291281000119108","Acute nontraumatic intracranial subdural hematoma","759291281000119108",""
"754555501000119102","Cellular leiomyoma","754555501000119102",""
"754097021000119101","Carrier of Joubert syndrome with oculorenal defect","754097021000119101",""
"754012901000119107","Progressive macular hypomelanosis","754012901000119107",""
"753248161000119109","Bilateral superior semicircular canal dehiscence syndrome","753248161000119109",""
"751960361000119108","Lesion of nasal cavity","751960361000119108",""
"746913791000119104","Bilateral limbal stem cell deficiency","746913791000119104",""
"745761781000119105","Visual field defect due to and following intracerebral hemorrhage","745761781000119105",""
"740215071000132100","Post BCG intravesical immunotherapy changes","740215071000132100",""
"736959331000119108","Candida auris carrier","736959331000119108",""
"732330391000119107","Cerebrovascular accident due to embolism of bilateral vertebral arteries","732330391000119107",""
"728667671000119108","Bilateral dystrophy of anterior surface of cornea of eyes","728667671000119108",""
"726499301000119105","Myocardial infarction due to atherothrombotic coronary artery disease","726499301000119105",""
"724003651000119103","Primary malignant glioma of thalamus","724003651000119103",""
"722119031000119100","Primary squamous cell carcinoma of skin of left foot","722119031000119100",""
"721711931000119105","Cerebrovascular accident due to thrombosis of bilateral anterior cerebral arteries","721711931000119105",""
