"source","target","context","developer_comments"
"365605003","","365605003",""
"302292003","","302292003",""
"364830008","","364830008",""
"1335900008","","1335900008",""
"50080221000188107","","50080221000188107",""
"309794002","","309794002",""
"1335899003","","1335899003",""
"716461003","","716461003",""
"281013003","","281013003",""
"1208524007","","1208524007",""
"427504007","","427504007",""
"300864006","","300864006",""
"442523003","","442523003",""
"440091008","","440091008",""
"314958004","","314958004",""
"386617003","","386617003",""
"281037003","","281037003",""
"366670002","","366670002",""
"309298003","","309298003",""
"271616002","","271616002",""
"1240591000000102","","1240591000000102",""
"427955007","","427955007",""
"410547008","","410547008",""
"1240581000000104","","1240581000000104",""
"426786003","","426786003",""
"1208523001","","1208523001",""
"250763003","","250763003",""
"373802001","","373802001",""
"313413008","","313413008",""
"716457009","","716457009",""
"298325004","","298325004",""
"1144534006","","1144534006",""
"406123005","","406123005",""
"473010000","","473010000",""
"365670007","","365670007",""
"415531008","","415531008",""
"1157021003","","1157021003",""
"365871009","","365871009",""
"251859005","","251859005",""
"419026008","","419026008",""
"299735001","","299735001",""
"366332006","","366332006",""
"300893006","","300893006",""
"297268004","","297268004",""
"252041008","","252041008",""
"444741009","","444741009",""
"365861007","","365861007",""
"419099009","","419099009",""
"1208525008","","1208525008",""
"371339004","","371339004",""
"418799008","","418799008",""
"406122000","","406122000",""
"1144537004","","1144537004",""
"300577008","","300577008",""
"444779004","","444779004",""
"301886001","","301886001",""
"424017009","","424017009",""
"366130008","","366130008",""
"444143004","","444143004",""
"281422006","","281422006",""
"897035006","","897035006",""
"1335893002","","1335893002",""
"298343000","","298343000",""
"879862001","","879862001",""
"365872002","","365872002",""
"405533003","","405533003",""
"897034005","","897034005",""
"365858006","","365858006",""
"1148601009","","1148601009",""
"413347006","","413347006",""
"298378000","","298378000",""
"299691001","","299691001",""
"301340007","","301340007",""
"417893002","","417893002",""
"271787007","","271787007",""
"429107004","","429107004",""
"301343009","","301343009",""
"251839006","","251839006",""
"365873007","","365873007",""
"419070004","","419070004",""
"307824009","","307824009",""
"298339004","","298339004",""
"301830001","","301830001",""
"420134006","","420134006",""
"366147009","","366147009",""
"302293008","","302293008",""
"816081007","","816081007",""
"1335898006","","1335898006",""
"289267004","","289267004",""
"290122005","","290122005",""
"716458004","","716458004",""
"704657009","","704657009",""
"371064006","","371064006",""
"432435004","","432435004",""
"267038008","","267038008",""
"300848003","","300848003",""
"444332001","","444332001",""
"1208526009","","1208526009",""
"422704000","","422704000",""
"863928009","","863928009",""
"250244003","","250244003",""
"268478005","","268478005",""
"276477006","","276477006",""
"285384003","","285384003",""
"445004006","","445004006",""
"249857004","","249857004",""
"250869005","","250869005",""
"384740007","","384740007",""
"1281820001","","1281820001",""
"429019009","","429019009",""
"1335903005","","1335903005",""
"301305006","","301305006",""
"445150007","","445150007",""
"424092004","","424092004",""
"366373007","","366373007",""
"716455001","","716455001",""
"366258009","","366258009",""
"1156072000","","1156072000",""
"384821006","","384821006",""
"414252009","","414252009",""
"1290194006","","1290194006",""
"428735001","","428735001",""
"424122007","","424122007",""
"249612005","","249612005",""
"298314008","","298314008",""
"371350001","","371350001",""
"438949009","","438949009",""
"423459005","","423459005",""
"249172003","","249172003",""
"248982007","","248982007",""
"248402002","","248402002",""
"248242009","","248242009",""
"247441003","","247441003",""
"246556002","","246556002",""
"225858006","","225858006",""
"225577002","","225577002",""
"225552003","","225552003",""
"169950007","","169950007",""
"162408000","","162408000",""
"135820002","","135820002",""
"135818000","","135818000",""
"135817005","","135817005",""
"135816001","","135816001",""
"135815002","","135815002",""
"131148009","","131148009",""
"129861002","","129861002",""
"129687000","","129687000",""
"128973006","","128973006",""
"127357005","","127357005",""
"127325009","","127325009",""
"123821009","","123821009",""
"118240005","","118240005",""
"118236001","","118236001",""
"118235002","","118235002",""
"118228005","","118228005",""
"118227000","","118227000",""
"118226009","","118226009",""
"118223001","","118223001",""
"118219009","","118219009",""
"118209003","","118209003",""
"118188004","","118188004",""
"116336009","","116336009",""
"108329005","","108329005",""
"107650008","","107650008",""
"106176003","","106176003",""
"106168000","","106168000",""
"106132005","","106132005",""
"106112009","","106112009",""
"106089007","","106089007",""
"106077005","","106077005",""
"106063007","","106063007",""
"106048009","","106048009",""
"106030000","","106030000",""
"106028002","","106028002",""
"106019003","","106019003",""
"105729006","","105729006",""
"105728003","","105728003",""
"105726004","","105726004",""
"105725000","","105725000",""
"105721009","","105721009",""
"105720005","","105720005",""
"105719004","","105719004",""
"105501005","","105501005",""
"105499002","","105499002",""
"102957003","","102957003",""
"102475006","","102475006",""
"89412004","","89412004",""
"88472004","","88472004",""
"86820007","","86820007",""
"84387000","","84387000",""
"80631005","","80631005",""
"79899007","","79899007",""
"74217003","","74217003",""
"73443006","","73443006",""
"72670004","","72670004",""
"72077002","","72077002",""
"69449002","","69449002",""
"69328002","","69328002",""
"65124004","","65124004",""
"64572001","","64572001",""
"62602005","","62602005",""
"59811005","","59811005",""
"58015007","","58015007",""
"56302003","","56302003",""
"55607006","","55607006",""
"48851009","","48851009",""
"43498006","","43498006",""
"42045007","","42045007",""
"41944006","","41944006",""
"39104002","","39104002",""
"38320009","","38320009",""
"37668006","","37668006",""
"32082000","","32082000",""
"29679002","","29679002",""
"25950000","","25950000",""
"21639008","","21639008",""
"18523001","","18523001",""
"18165001","","18165001",""
"13197004","","13197004",""
"11999007","","11999007",""
"3219008","","3219008",""
