"source","target","context","developer_comments"
"105590001","Substance","105590001",""
"438951008","Substance categorized by hazard characteristics","438951008",""
"410942007","Drug or medicament","410942007",""
"766739005","Substance categorized by disposition","766739005",""
"373782009","Diagnostic substance","373782009",""
"115669006","Substance categorized by physical state","115669006",""
"260769002","Material","260769002",""
"115668003","Biological substance","115668003",""
"312412007","Substance categorized functionally","312412007",""
"91720002","Body substance","91720002",""
"762766007","Edible substance","762766007",""
"312413002","Substance categorized by structure","312413002",""
"255640000","Biocide","255640000",""
