"source","target","context","developer_comments"
"1303713006","","1303713006",""
"1202017008","","1202017008",""
"1173033008","","1173033008",""
"1052227004","","1052227004",""
"816079005","","816079005",""
"737301002","","737301002",""
"726549007","","726549007",""
"711364006","","711364006",""
"708804002","","708804002",""
"447183004","","447183004",""
"440094000","","440094000",""
"428989006","","428989006",""
"428555003","","428555003",""
"410803008","","410803008",""
"392236004","","392236004",""
"387661001","","387661001",""
"386638009","","386638009",""
"373351007","","373351007",""
"363187007","","363187007",""
"363152007","","363152007",""
"313039003","","313039003",""
"287790000","","287790000",""
"274075007","","274075007",""
"236941004","","236941004",""
"236347006","","236347006",""
"233150009","","233150009",""
"232502008","","232502008",""
"232182000","","232182000",""
"180862005","","180862005",""
"178219007","","178219007",""
"176996001","","176996001",""
"169335009","","169335009",""
"133860004","","133860004",""
"128303001","","128303001",""
"122459003","","122459003",""
"119561005","","119561005",""
"118635009","","118635009",""
"112802009","","112802009",""
"112697007","","112697007",""
"112692001","","112692001",""
"110468005","","110468005",""
"107994000","","107994000",""
"107907001","","107907001",""
"107876005","","107876005",""
"91321000","","91321000",""
"91101005","","91101005",""
"89901005","","89901005",""
"86403000","","86403000",""
"80342005","","80342005",""
"79820000","","79820000",""
"79537002","","79537002",""
"76790002","","76790002",""
"75152009","","75152009",""
"74943008","","74943008",""
"73994005","","73994005",""
"71025006","","71025006",""
"64597002","","64597002",""
"60139001","","60139001",""
"49509003","","49509003",""
"44749005","","44749005",""
"37508003","","37508003",""
"35631009","","35631009",""
"34896006","","34896006",""
"16545005","","16545005",""
"10724008","","10724008",""
"4365001","","4365001",""
"4116001","","4116001",""
"1431002","","1431002",""
